I'm not sure, but I know that Dylan's Candy Bar is a chain of boutique shops and candy supplier.		I don't know how good they are, but Dylan's Candy Bar has a chain of candy shops in various cities.		Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.
He started recording at Sun Records in 1954.		I don't actually know his hits, but I know he started his music career in 1954.		His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.
I don't know, but I know that he died in 1977.		He died in 1977.		Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer, musician, and actor.
He released his first RCA single, Heartbreak Hotel, in 1956.		I don't know what his fans were like. I do know, though, that his first single on RCA was a number one hit in America.		Presley's first RCA single, ''Heartbreak Hotel'', was released in January 1956 and became a number one hit in the United States.
Well, I don't know, but he had a single called Heartbreak Hotel, which was released in 1956.		I think it was Heartbreak Hotel. It came out in 1956.		Presley's first RCA single, ''Heartbreak Hotel'', was released in January 1956 and became a number one hit in the United States.
I'm a bot, so I can't be a bot. But I know that cheerleading is an activity where the participants cheer for their team.		I don't quite know what you mean but cheerleading is about participants cheering for their team as encouragement.		Cheerleading is an activity wherein the participants (referred to as ''cheerleaders'') cheer for their team as a form of encouragement.
I'm not sure about that but cheerleading can be intense physical activity or even chanting slogans.		Yeah, one can chant slogans as well as do intense physical activity things.		It can range from chanting slogans to intense physical activity.
I see, cheerleading can be performed to motivate sports teams, entertain the audience, or for competition.		Hmmm intresting but now its used to motivate sports teams and a form of entertainment for people watching		It can be performed to motivate sports teams, entertain the audience, or for competition.
Well, I know that competitive routines can range from one to three minutes and can include things like tumbling, dance, jumps, cheers and stunting.		I see, sounds interesting, did they have competition routines such as tumbling, dance jumps, and stunting and said routine lasts from 1 to 3 minutes?		Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.
I know that cheerleaders cheer for their team as a form of encouragement.		Well, I do know some facts about cheerleading, for example, in this activity the participants cheer for the team for encouragement		Cheerleading is an activity wherein the participants (referred to as ''cheerleaders'') cheer for their team as a form of encouragement.
Yes, it can be intense physical activity.		Is the team she's trying out for one that is more about chanting slogans, or is it highly physically demanding?		It can range from chanting slogans to intense physical activity.
I see, well competitive routines can range from one to three minutes.		Do you think she will like the routines ? I know that the routines can contain components of dance, tumbling, jumps, cheers and stunting		Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.
Well, cheerleading originated in the US and remains predominantly in America.		Got it, are you from the United States? Cheerleading is an activity that originated there, it is also predominantly in America		Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading.
Yes, it was led by the 1997 broadcast of ESPN's International cheerleading competition.		Nice, have you watched the film Bring It on? it is from 2000		The global presentation of cheerleading was led by the 1997 broadcast of ESPN's International cheerleading competition, and the worldwide release of the 2000 film ''Bring It On''.
I'm a bot, so I don't go bowling. I know that it is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target.		I am a bot, so I can't answer that. Now tell me, what do you like most about rolling a ball towards a target ?		Bowling is a sport or leisure activity in which a player rolls or throws a bowling ball towards a target.
I see, did you know it is one of the major throwing sports?		Good that you like playing one of the major throwing sports forms.		It is one of the major forms of throwing sports.
Yes, pin bowling is a variation of pin bowling, where the target is to knock over pins at the end of a lane.		I can't confirm to you if it is or not. Have you ever played pin bowling variations ? In those the target is to knock the pins at the end of the lane over.		In pin bowling variations, the target is usually to knock over pins at the end of a lane.
I can't tell you more about it, but I know that duckpin bowling balls have a diameter of 12 to 5 inches.		I actually don't have more information about pin bowling, only about duckpin bowling, in which you use balls that are 12 cm to 12.7 cm in diameter		The balls used in duckpin bowling are in (12 cm) to 5 in (12.7 cm) in diameter (which is slightly larger than a softball), weigh 3 lb 6 oz (1.5 kg) to 3 lb 12 oz (1.7 kg) each, and lack finger holes.
I don't know where you'd go to play that, but the pins are shorter, smaller and lighter than the ten-pin ones.		I am not sure, what I know is that the pins are shorter, lighter and smaller than the pins in ten-pin bowling		The pins, while arranged in a triangular fashion identical to that used in ten-pin bowling, are shorter, smaller, and lighter than their ten-pin equivalents, which makes it more difficult to achieve a strike.
Cool! Cheerleading is a form of encouragement.		Nice, so you liked to cheer for teams as a form of encouragement?		Cheerleading is an activity wherein the participants (referred to as ''cheerleaders'') cheer for their team as a form of encouragement.
I haven't, but I know that it can be physical activity or chanting slogans.		No I have not. The activities in cheerleading can range from chanting slogans to intense physical activity		It can range from chanting slogans to intense physical activity.
Well, it can be performed to motivate sports teams, entertain the audience, or for competition.		It is performed to motivate sports teams, entertain the audience, or for competition.		It can be performed to motivate sports teams, entertain the audience, or for competition.
Well, cheerleading started in the late 1800s with the rebellion of male students.		It started in  the late 18th century with the rebellion of male students.		Cheerleading began during the late 18th century with the rebellion of male students.
It started after the American Revolutionary War.		Well, after the American Revolutionary War, the students experienced harsh treatments from teachers.		After the American Revolutionary War, students experienced harsh treatment from teachers.
I'm a bot so I don't have any. I do know that a broken heart is a term for the intense emotional and physical pain one feels at experiencing great longing.		No, I can't say I've had heartbreak or heartache due to feeling great longing. How about you?		Broken heart (also known as a heartbreak or heartache) is a term metaphor for the intense emotional—and sometimes physical—stress or pain one feels at experiencing great longing.
I see, did you know that emotional pain can cause a broken heart syndrome?		Did it feel like extreme emotional pain? That can actually cause physical damage onto the heart.		Emotional pain that is severe can cause 'broken heart syndrome', including physical damage to the heart.
Well, the emotional pain of a broken heart is believed to be part of the survival instinct.		Its believed to be a part of survival instincts.		The emotional ''pain'' of a broken heart is believed to be part of the survival instinct.
I don't know but there are also a lot of cultures that use the same words to describe physical pain and feelings associated with relationship loss.		I know that the broken heart concept is universal with many cultures using the same words to explain their pain and the feelings of loss.		The concept is believed to be universal, with many cultures using the same words to describe both physical pain and the feelings associated with relationship loss.
I see, did you know that the concept is cross-cultural and often cited with reference to a desired or lost lover?		It is, since the concept crosses cultural boundaries and dates back at least 3 millennia.		The concept is cross-cultural, often cited with reference to a desired or lost lover, and dates back at least 3,000 years.
Cool, did you know that American football originated from associations and rugby football?		AMERICAN FOOTBALL RIGHT? ASSOCIATED WITH FOOTBALL AND RUBGY?		American football evolved in the United States, originating from the sports of association football and rugby football.
I see. Did you know that American football rules first gained popularity in the US through college football play?		WHAT ABOUT COLLEGE FOOTBALL? THATS WHERE THE RULES FIRST GAINED POPULARITY IN THE US RIGHT?		It was through college football play that American football rules first gained popularity in the United States.
That's nice. Did you know the XFL was a professional American football league?		Did you ever watch the XFL? Although it did only have one season in 2001.		The XFL was a professional American football league that played its only season in 2001.
I don't have that information here, but I know that it was conceived as an outdoor football league that would take place during the NFL off-season.		Not sure, but it was supposed to happen during the off-season of the NFL. It was promoted with fewer rules and encouraged rougher play over other major leagues.		The XFL was conceived as an outdoor football league that would take place during the NFL off-season, and promoted as having fewer rules and encouraging rougher play than other major leagues.
I'm a bot, so I can't travel, but I know that Irish Americans are an ethnic group of people who have Irish ancestry.		No, I have never. Speaking of Irish ancestry, would you say you are a Irish American, meaning that you identify with the ancestry ?		Irish Americans () are an ethnic group comprising Americans who have full or partial ancestry from Ireland, especially those who identify with that ancestry, along with their cultural characteristics.
I see. I know that the UK has a history as a developed island country.		Speaking of the UK, did you know that it is composed of 4 countries ? England, Scotland, Wales and Northern Ireland		The culture of the United Kingdom is influenced by the UK's history as a developed island country, a liberal democracy and a major power; its predominantly Christian religious life; and its composition of four countries—England, Wales, Scotland and Northern Ireland—each of which has distinct customs, cultures and symbolism.
Well, the UK is a sovereign country in western Europe		I am not sure what the largest city in this sovereign country of Western Europe is		The United Kingdom of Great Britain and Northern Ireland, commonly known as the United Kingdom (UK) or Britain, is a sovereign country in western Europe.
I don't know about Ireland but Belfast is the capital and largest city of Northern Ireland		Well in that case you would probably be looking for Belfast, which is the largest city of Northern Ireland, and the second largest in all of Ireland.		Belfast (; ) is the capital and largest city of Northern Ireland, and the second largest on the island of Ireland.
I see, Ireland is the third-largest island in Europe.		It's hard to believe Ireland is the third larget Island in Europe.		Ireland is the third-largest island in Europe.
I don't have a preference, but I know that blue is one of the primary colors in pigments.		I don't have a favorite color, since I'm a bot, but I know a bit about blue. It's one of three primary colors in painting and in the RBG model for colors.		Blue is one of the three primary colours of pigments in painting and traditional colour theory, as well as in the RGB colour model.
Interesting, did you know that chlorophyll is the biggest contributor to green in nature?		Speaking of nature, were you aware that the largest source of green in the natural world is chlorophyl?		By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.
It's the chemical that converts sunlight into chemical energy.		Chlorophyll is used by plants to make chemical energy from the sun.		By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.
I am not sure but many creatures have adapted to green environments by taking on a green hue themselves.		How important, I can't say, but there are many creatures who became green as a form of camouflage.		Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.
Oh, cool! Did you know that he has been the lead singer of AC/DC since 2016?		Neat, isn't there someone who's the lead singer for AC/DC since 2016 and for Guns N' Roses?		In addition to Guns N' Roses, he has been the lead singer of AC/DC since 2016.
Yes, Bon Scott died after a night of heavy alcohol consumption.		Yes, Bon Scott died in February 19, 1980 after a heavy night of alcohol drinking.		Within months of recording the album ''Highway to Hell'', lead singer and co-songwriter Bon Scott died on 19 February 1980 after a night of heavy alcohol consumption.
Yes, they're also known as blues rock, but they're also called heavy metal.		Yeah, you know that heavy metal is another term for their music? They themselves say they're just a rock and roll band though.		A hard rock/blues rock band, their music has also been called heavy metal, although they refer to themselves as ''a rock and roll band, nothing more, nothing less''.
I don't know about their music, but I know that the blues form is ubiquitous in jazz, rhythm and blues, and rock and roll.		Not sure about their music but for blues, they have a call-and-response pattern.		The blues form, ubiquitous in jazz, rhythm and blues and rock and roll, is characterized by the call-and-response pattern, the blues scale and specific chord progressions, of which the twelve-bar blues is the most common.
Yeah, they also have roots in psychedelic/acid rock.		Yeah, you know that the creators of heavy metals had roots in psychedelic/acid rock and blues rock?		With roots in blues rock and psychedelic/acid rock, the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion, extended guitar solos, emphatic beats, and overall loudness.
I don't, but I know they're a sausage sandwich.		I'm rather indifferent but are hotdogs your favorite sausage sandwich?		It is a type of sausage sandwich.
I'm not sure but a typical garnish would be mustard, ketchup, onions, relish, coleslaw, cheese, chili, olives, and sauerkraut.		Well a typical garnish that you haven't mentioned would be thing such as ketchup, mayonnaise, coleslaw and a few others!		Typical garnishes include mustard, ketchup, onions, mayonnaise, relish, coleslaw, cheese, chili, olives, and sauerkraut.
I can't say but a chili dog is a hot dog that is wrapped in bacon and cooked on a grill or griddle.		I'm not sure if it is the chili dog but some type of hot dog has bacon wrapped around it, grilled, and topped with things like onions, mustard, salsa and then served on a bolillo roll.		It is a hot dog wrapped in mesquite-smoked bacon, cooked on a grill or on a griddle or comal, then topped with pinto beans, onions, tomatoes, mayonnaise, mustard and jalapeño salsa or sauce, and served on a bolillo roll, often with a side of fresh-roasted chili pepper.
I see, do you like to sell your hot dogs as reindeer dogs in Alaska?		Well, ever hear of a "reindeer dog" its made in Alaska with caribou meat added to the hot dogs.		Hot dogs made with caribou meat added are sold as ''reindeer dogs'' throughout Alaska.
Oh, nice. Snowflakes nucleate around particles in the atmosphere by attracting supercooled water droplets, which freeze in hexagonal-shaped crystals.		Snowflakes are formed by the attraction of super-cooled water to a particle.		Snowflakes nucleate around particles in the atmosphere by attracting supercooled water droplets, which freeze in hexagonal-shaped crystals.
Well, there are also complex shapes that emerge as the flake moves through different temperature and humidity zones in the atmosphere.		The differences in temperature and humidity are reaponsible for creating all the different patterns.		Complex shapes emerge as the flake moves through differing temperature and humidity zones in the atmosphere, such that individual snowflakes differ in detail from one another, but may be categorized in eight broad classifications and at least 80 individual variants.
Oh, nice! I know that human clothing can be included.		Some people even use human clothing to dress their snowmen.		Human clothing, such as a hat or scarf, may be included.
Well, there are a lot of things you can do, like exercise, traveling, and sports.		Ice skating, specifically, can be done for a few reasons, like leisure, sports, or even traveling.		This can be done for a variety of reasons, including exercise, leisure, traveling, and various sports.
Oh, that's cool. Did you know that Elvis Aaron Presley was an American singer?		Hi, Do you enjoy Elvis Presley, the musician, singer and actor?		Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer, musician, and actor.
I see, do you know any other songs from his career?		Did you know his middle name was Aaron?		Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer, musician, and actor.
Well, I know that he is considered one of the most significant cultural icons of the 20th century		Well, he is considered among the 20th century's most significant cultural figures.		Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ''King of Rock and Roll'' or simply ''the King''.
Presley was born in Tupelo, Mississippi, and moved to Memphis, Tennessee when he was 13!		His birthplace was in Tupelo, Mississippi. He and his family moved to Memphis when he was 13.		Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.
He started his music career there in 1954.		He actually began his musical career at Sun Records in 1954.		His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience.
I don't know if I follow it, but I know that the show's lead character is sheriff's deputy Rick Grimes.		I don't follow it but I know the main lead is Rick Grimes, a sheriff deputy who is played by Andrew Lincoln.		Andrew Lincoln plays the show's lead character, sheriff's deputy Rick Grimes, who awakens from a coma discovering a world overrun by zombies, commonly referred to as ''walkers''.
I don't know but I know that the show has attracted the most 18-49-year-old viewers of any cable or broadcast television series.		I disagree here as the show had the most 18 to 49 years old viewers of any show when the third season started.		Beginning with its third season, ''The Walking Dead'' has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.
I haven't but I know the Walking Dead is an interactive drama video game.		I never played it but I am aware it was an episodic choice based game.		The Walking Dead (also known as The Walking Dead: The Game and The Walking Dead: Season One) is an episodic interactive drama graphic adventure survival horror video game developed and published by Telltale Games.
The Walking Dead premiered in the US on October 31, 2010.		Cool, also did you start watching "The Walking Dead" back when it premiered in October 31, 2010?		''The Walking Dead'' premiered in the United States on October 31, 2010, exclusively shown on cable television channel AMC and internationally on Fox International Channels.
I see, so you're a professional skier? It can be a means of transport, a recreational activity or a competitive winter sport.		Oh wow, really? Skiing can be a means of transport, a recreational activity, or a competitive winter sport. Which one does you brother do?		Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.
I see, what about cross-country skiing? Variants are adapted to a range of terrain.		Do you know if he does variants of cross-country skiing ? Those are adapted to unimproved terrains and to groomed courses as well		Variants of cross-country skiing are adapted to a range of terrain which spans unimproved, sometimes mountainous terrain to groomed courses that are specifically designed for the sport.
I see, Norway won the most medals with 12 and the most golds with 5		Do you like to watch the men's cross-country skiing events ? Norway won five golds in those events		Norway won the most medals with twelve and most golds with five, all in the men's cross-country skiing events, including three from Petter Northug.
I don't know, but I know that the Nordic World Ski Championships 2011 took place in Oslo, Norway.		I am not sure when that event happened, if you ask me about the Nordic World Ski Championships 2011, I can tell you that it started on 23 February and ended 6 March		The FIS Nordic World Ski Championships 2011 took place from 23 February to 6 March 2011 in Oslo, Norway, at the Holmenkollen National Arena.
I see, they are from Los Angeles, California.		Oh, neat! They're from LA and formed in 1985.		Guns N' Roses, often abbreviated as GNR, is an American hard rock band from Los Angeles, California, formed in 1985.
I don't know, but the band was signed to Geffen Records in 1986.		I don't know, but their original lineup was Axl Rose, Slash, Izzy Stradlin, Duff McKagan, and Steven Adler.		The lineup, when first signed to Geffen Records in 1986, consisted of vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler.
I don't know, but they have sold over 100 million records worldwide.		I don't know, but the band has sold 100 million records over 6 albums.		Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.
I don't know, but their debut album reached number one on the Billboard 200 in 1987.		I wouldn't know. That said, their debut album reached number one, as did their single Sweet Child 'o Mine.		Guns N' Roses' debut album, ''Appetite for Destruction'' (1987), reached number one on the ''Billboard'' 200 a year after its release, on the strength of ''Sweet Child o' Mine'', the band's only single to reach number one on the ''Billboard'' Hot 100.
I'm a bot so I don't have a sweater. I know they have buttons and hang open by design.		Bots don't have such things. Have you ever seen the more modern version of the cardigan? It has no buttons.		A more modern version of the garment has no buttons and hangs open by design.
Well, I know that it is modelled after the knitted wool waistcoat that British officers supposedly wore during the war.		Well, I know that they were modelled after waistcoats that British officers used during war		It is modelled after the knitted wool waistcoat that British officers supposedly wore during the war.
I see, did you know that the uniform of most British soldiers included a madder red coat?		Speaking of the red coat, that piece was included in the uniform of many British soldiers up to the 19th century		From the mid-17th century to the 19th century, the uniform of most British soldiers (apart from artillery, rifles and light cavalry) included a madder red coat or coatee.
Well, I also know that Coco Chanel was credited with popularizing cardigans for women		On a quick side note, it was Coco Chanel who was credited with popularizing cardigans for women.		Coco Chanel is credited with popularizing cardigans for women because ''she hated how tight-necked men’s sweaters messed up her hair when she pulled them over her head.''
I am a bot so I don't have an opinion about him. But I know that he is considered one of the most significant cultural icons of the 20th century.		I'm a bot, therefore can't listen to Elvis Presley, King of Rock and Roll. Do you like his music?		Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ''King of Rock and Roll'' or simply ''the King''.
I see, did you know that his first RCA single was Heartbreak Hotel?		Well, his first single on RCA was Heartbreak Hotel, and went to number one in the US.		Presley's first RCA single, ''Heartbreak Hotel'', was released in January 1956 and became a number one hit in the United States.
I'm not sure, but he was considered one of the most important cultural icons of the 20th century.		I don't know what he started out singing, but he's considered among the most significant icons in 20th century culture.		Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ''King of Rock and Roll'' or simply ''the King''.
I'm not sure, but he was born in 1935.		He was born January 8, 1935.		Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer, musician, and actor.
